Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
RD0,NO,01/01/2021 00:00,6.70000,ug m-3,R
RD0,NO,01/01/2021 00:15,6.70000,ug m-3,R
RD0,NO,01/01/2021 00:30,6.70000,ug m-3,R
RD0,NO,01/01/2021 00:45,6.70000,ug m-3,R
RD0,NO,01/01/2021 01:00,6.40000,ug m-3,R
RD0,NO,01/01/2021 01:15,6.40000,ug m-3,R
RD0,NO,01/01/2021 01:30,6.40000,ug m-3,R
RD0,NO,01/01/2021 01:45,6.40000,ug m-3,R
RD0,NO,01/01/2021 02:00,5.50000,ug m-3,R
RD0,NO,01/01/2021 02:15,5.50000,ug m-3,R
RD0,NO,01/01/2021 02:30,5.50000,ug m-3,R
RD0,NO,01/01/2021 02:45,5.50000,ug m-3,R
RD0,NO,01/01/2021 03:00,4.30000,ug m-3,R
RD0,NO,01/01/2021 03:15,4.30000,ug m-3,R
RD0,NO,01/01/2021 03:30,4.30000,ug m-3,R
RD0,NO,01/01/2021 03:45,4.30000,ug m-3,R
RD0,NO,01/01/2021 04:00,3.80000,ug m-3,R
RD0,NO,01/01/2021 04:15,3.80000,ug m-3,R
RD0,NO,01/01/2021 04:30,3.80000,ug m-3,R
RD0,NO,01/01/2021 04:45,3.80000,ug m-3,R
RD0,NO,01/01/2021 05:00,4.70000,ug m-3,R
RD0,NO,01/01/2021 05:15,4.70000,ug m-3,R
RD0,NO,01/01/2021 05:30,4.70000,ug m-3,R
RD0,NO,01/01/2021 05:45,4.70000,ug m-3,R
RD0,NO,01/01/2021 06:00,5.90000,ug m-3,R
RD0,NO,01/01/2021 06:15,5.90000,ug m-3,R
RD0,NO,01/01/2021 06:30,5.90000,ug m-3,R
RD0,NO,01/01/2021 06:45,5.90000,ug m-3,R
RD0,NO,01/01/2021 07:00,7.60000,ug m-3,R
RD0,NO,01/01/2021 07:15,7.60000,ug m-3,R
RD0,NO,01/01/2021 07:30,7.60000,ug m-3,R
RD0,NO,01/01/2021 07:45,7.60000,ug m-3,R
RD0,NO,01/01/2021 08:00,8.40000,ug m-3,R
RD0,NO,01/01/2021 08:15,8.40000,ug m-3,R
RD0,NO,01/01/2021 08:30,8.40000,ug m-3,R
RD0,NO,01/01/2021 08:45,8.40000,ug m-3,R
RD0,NO,01/01/2021 09:00,9.30000,ug m-3,R
RD0,NO,01/01/2021 09:15,9.30000,ug m-3,R
RD0,NO,01/01/2021 09:30,9.30000,ug m-3,R
RD0,NO,01/01/2021 09:45,9.30000,ug m-3,R
RD0,NO,01/01/2021 10:00,8.80000,ug m-3,R
RD0,NO,01/01/2021 10:15,8.80000,ug m-3,R
RD0,NO,01/01/2021 10:30,8.80000,ug m-3,R
RD0,NO,01/01/2021 10:45,8.80000,ug m-3,R
RD0,NO,01/01/2021 11:00,8.20000,ug m-3,R
RD0,NO,01/01/2021 11:15,8.20000,ug m-3,R
RD0,NO,01/01/2021 11:30,8.20000,ug m-3,R
RD0,NO,01/01/2021 11:45,8.20000,ug m-3,R
RD0,NO,01/01/2021 12:00,6.60000,ug m-3,R
RD0,NO,01/01/2021 12:15,6.60000,ug m-3,R
RD0,NO,01/01/2021 12:30,6.60000,ug m-3,R
RD0,NO,01/01/2021 12:45,6.60000,ug m-3,R
RD0,NO,01/01/2021 13:00,9.70000,ug m-3,R
RD0,NO,01/01/2021 13:15,9.70000,ug m-3,R
RD0,NO,01/01/2021 13:30,9.70000,ug m-3,R
RD0,NO,01/01/2021 13:45,9.70000,ug m-3,R
RD0,NO,01/01/2021 14:00,8.00000,ug m-3,R
RD0,NO,01/01/2021 14:15,8.00000,ug m-3,R
RD0,NO,01/01/2021 14:30,8.00000,ug m-3,R
RD0,NO,01/01/2021 14:45,8.00000,ug m-3,R
RD0,NO,01/01/2021 15:00,7.50000,ug m-3,R
RD0,NO,01/01/2021 15:15,7.50000,ug m-3,R
RD0,NO,01/01/2021 15:30,7.50000,ug m-3,R
